record_type,run_id,run_local_date,run_started_at,run_finished_at,trigger_type,run_status,screener_status,warning_text,fallback_used,decision_engine,llm_triggered,model_used_heavy,model_used_light,final_decision_action,final_selected_ticker,strategy_source,strategy_label,strategy_status,strategy_provider,strategy_raw_row_count,strategy_candidate_count,strategy_finviz_candidate_count,strategy_backup_candidate_count,strategy_fallback_used,strategy_query_urls,strategy_filter_codes,strategy_criteria_summary,strategy_sort_summary,strategy_note,ticker,company_name,candidate_origin,candidate_sources,data_sources_used,screener_rank,combined_rank,selected_for_final,selected_contract_matches_best_scored,market_cap,current_price,sector,sector_etf,earnings_date,earnings_date_verified,earnings_timing,direction_classification,candidate_direction_score,data_confidence_score,final_opportunity_score,best_strategy,option_contracts_considered,viable_contract_count,stock_return_1d,stock_return_5d,stock_return_20d,stock_return_50d,latest_volume,average_volume_20d,volume_vs_average_20d,relative_strength_vs_spy,relative_strength_vs_qqq,relative_strength_vs_sector,news_confidence,news_used_llm_summary,selected_contract_option_type,selected_contract_position_side,selected_contract_strike,selected_contract_expiry,selected_contract_bid,selected_contract_ask,selected_contract_mid,selected_contract_volume,selected_contract_open_interest,selected_contract_implied_volatility,selected_contract_delta,selected_contract_breakeven,selected_contract_spread_percent,selected_contract_liquidity_score,selected_contract_score,selected_contract_passed_hard_filters,selected_contract_rejection_reason,best_scored_contract_option_type,best_scored_contract_position_side,best_scored_contract_strike,best_scored_contract_expiry,best_scored_contract_score,best_scored_contract_passed_hard_filters,best_scored_contract_rejection_reason,missing_data_fields,validation_notes,scoring_reasons,decision_reasoning
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,CSCO,Cisco Systems Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,1,1,true,false,354310000000.00,94.30000305175781,Technology,XLK,2026-05-13,true,unknown,bullish,72,98,75,long_call,32,7,0.018028779529929416816754652,0.085655104641106645870795747,0.168815105293303774991743824,0.213017824067963036108592598,13420100,17257050,0.7776589857478537757032633040,0.070896274407043120550255989,0.010776480355924039013734434,-0.036380366655526706436788903,25,false,call,long,97.5,2026-05-15,1,1.08,1.04,319,,0.5479,0.2358,98.58,7.692307692307692307692307692,65,75,true,,call,long,97,2026-05-22,77,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|price structure was clearly supportive|best contract was long_call 2026-05-22 97,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,QBTS,D-Wave Quantum Inc,finviz_row,finviz,finviz|yfinance|alpaca,5,2,false,true,8410000000.00,23.4950008392334,Technology,XLK,2026-05-06,true,unknown,bullish,79,98,69,long_call,34,10,0.090761366787908213874493112,0.285987972115753899094629781,0.612560146283301444851116382,0.259110451841286555380950181,22160696,33060270,0.6703120089460854372937668083,0.530934146847416917611962873,0.471129261704081045527013629,0.423732392582918623604558736,25,false,,,,,,,,,,,,,,,,,,call,long,23,2026-05-08,60,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-08 23|IV is very elevated for a long option.,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,MP,MP Materials Corp,finviz_row,finviz,finviz|yfinance|alpaca,1,3,false,true,12460000000.00,72.30000305175781,Basic Materials,XLB,2026-05-06,true,unknown,bullish,81,98,66,long_call,37,1,0.062591864370300306682390290,0.179771624713189795828506208,0.328435002188686147054794684,0.237508579642088204062289975,5315753,5622230,0.9454883560437762240249865267,0.246809002752801619815641175,0.187004117609465747730691931,0.315294899673212137392958935,25,false,,,,,,,,,,,,,,,,,,call,long,76,2026-05-08,54,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-08 76|IV is very elevated for a long option.,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,GME,Gamestop Corp,finviz_row,finviz,finviz|yfinance|Yahoo Finance|Blockonomi|Cryptopolitan|alpaca,4,4,false,true,11030000000.00,24.229999542236328,Consumer Cyclical,XLY,2026-05-06,true,unknown,neutral,53,100,0,,0,0,0.016359034695983532437209787,-0.0342766283428203907873591041,0.034144226489140292303881766,0.024957705914588189039997452,17924800,9584505,1.870185262567028761527068951,-0.063774604397120362137606069,-0.123894398448239443674127624,-0.061429712200598837991425478,85,true,,,,,,,,,,,,,,,,,,,,,,,,,earnings_timing,,trend alignment was mixed rather than decisive|volume confirmation was clearly supportive|market/sector environment was clearly supportive|No usable option contract was selected.,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,AMAT,Applied Materials Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alphavantage|alpaca,2,5,false,true,321540000000.00,410.82000732421875,Technology,XLK,2026-05-14,true,unknown,bullish,75,98,0,long_call,35,0,0.049670402674830055034254106,0.077956556150712367791321928,0.159493127924734044614871796,0.099772509032729582795977219,6305000,5698415,1.106448021072526307753998261,0.061574297038473390173383961,0.001454502987354308636862406,-0.045702344024096436813660931,25,false,,,,,,,,,,,,,,,,,,call,long,402.5,2026-05-08,0,false,Expiry is outside the valid earnings window.; User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|price structure was clearly supportive|No usable option contract was selected.,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,CEG,Constellation Energy Corp,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,3,6,false,true,117410000000.00,320.4200134277344,Utilities,XLU,2026-05-11,true,unknown,bullish,72,98,0,long_call,28,0,-0.0019622313944475002390646688,0.048117570193376661935074003,0.175508214880572655493643473,0.090605945339670715442996216,1891200,2679905,0.7056966571576231247003158694,0.077589383994312001052155638,0.017469589943192919515634083,0.173347020302405816541530961,25,false,,,,,,,,,,,,,,,,,,call,long,320,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,SPG,Simon Property Group Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,4,7,false,true,66360000000.00,202.30999755859375,Real Estate,XLRE,2026-05-11,true,unknown,neutral,54,98,0,,0,0,0.003970041554096072560503655,-0.0021701723373921085080147965,0.061604606093138421400384781,0.011196032150611343014392850,967600,1248300,0.7751341824881839301449971962,-0.036314224793122233041103054,-0.096434018844241314577624609,0.002879848745183239461640844,25,false,,,,,,,,,,,,,,,,,,,,,,,,,earnings_timing|news_articles,market cap differs across sources; kept Finviz ranking value,trend alignment was mixed rather than decisive|news/catalyst quality was mixed rather than decisive|earnings expectation context was mixed rather than decisive|No usable option contract was selected.,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,SYM,Symbotic Inc,finviz_row,finviz,finviz|yfinance|alphavantage|alpaca,3,8,false,true,35330000000.00,59.90999984741211,Industrials,XLI,2026-05-06,true,unknown,bullish,74,98,0,long_call,39,0,0.031508229315842440386212263,0.044638211707123306808399369,0.098258491023223448195930977,0.064120793237510527996270011,1294272,1353130,0.9565023316311071367865615277,0.016632491587338920956777468,-0.043172393555996951128171776,0.065607690966356617207518847,25,false,,,,,,,,,,,,,,,,,,call,long,62,2026-05-08,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|price structure was clearly supportive|No usable option contract was selected.,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,ALAB,Astera Labs Inc,finviz_row,finviz,finviz|yfinance|alpaca,2,9,false,true,32550000000.00,205.30999755859375,Technology,XLK,2026-05-06,true,unknown,bullish,76,98,0,long_call,38,0,-0.0481246453953390975603199330,0.042976841212945432352185966,0.636457827648777554355681242,0.598987595934887211641998436,5243657,6076635,0.8629211726555898124537675868,0.554831828212893027116527733,0.495059772286432133979400709,0.447630073948394733109123596,25,false,,,,,,,,,,,,,,,,,,call,long,205,2026-05-08,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|No usable option contract was selected.,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
candidate,b408f80a-d123-418b-aff4-ac2838112fe8,2026-05-06,2026-05-06T17:04:07.751495+00:00,2026-05-06T17:05:08.561048+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,CSCO,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,CRCL,Circle Internet Group Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,5,10,false,true,31120000000.00,121.11000061035156,Financial Services,XLF,2026-05-11,true,unknown,bullish,78,98,0,long_call,29,0,0.060600735799932523543620172,0.267371323822936700000958065,0.282401498088612108821467002,0.973439835721243472646529747,10646852,12561720,0.8475632317867298427285435434,0.200775498652727581582313493,0.140970613509391709497364249,0.269413199150759289448049310,25,false,,,,,,,,,,,,,,,,,,call,long,121,2026-05-08,0,false,Expiry is outside the valid earnings window.; User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|price structure was clearly supportive|No usable option contract was selected.,"CSCO is the only candidate with a clean long-call setup at non-extreme IV. Trend, sector context, and relative strength vs SPY are all supportive, and the 97.5/May-15 contract is the only chain entry that both covers earnings and has acceptable liquidity. QBTS and MP show stronger momentum but IV >120% makes long premium structurally unattractive for a Balanced profile. GME has no usable chain. Standard recommend rather than Strong because news flow is sparse (no independent catalyst confirmation), volume is below 20d average (0.78x), and relative strength vs sector is slightly negative."
