record_type,run_id,run_local_date,run_started_at,run_finished_at,trigger_type,run_status,screener_status,warning_text,fallback_used,decision_engine,llm_triggered,model_used_heavy,model_used_light,final_decision_action,final_selected_ticker,strategy_source,strategy_label,strategy_status,strategy_provider,strategy_raw_row_count,strategy_candidate_count,strategy_finviz_candidate_count,strategy_backup_candidate_count,strategy_fallback_used,strategy_query_urls,strategy_filter_codes,strategy_criteria_summary,strategy_sort_summary,strategy_note,ticker,company_name,candidate_origin,candidate_sources,data_sources_used,screener_rank,combined_rank,selected_for_final,selected_contract_matches_best_scored,market_cap,current_price,sector,sector_etf,earnings_date,earnings_date_verified,earnings_timing,direction_classification,candidate_direction_score,data_confidence_score,final_opportunity_score,best_strategy,option_contracts_considered,viable_contract_count,stock_return_1d,stock_return_5d,stock_return_20d,stock_return_50d,latest_volume,average_volume_20d,volume_vs_average_20d,relative_strength_vs_spy,relative_strength_vs_qqq,relative_strength_vs_sector,news_confidence,news_used_llm_summary,selected_contract_option_type,selected_contract_position_side,selected_contract_strike,selected_contract_expiry,selected_contract_bid,selected_contract_ask,selected_contract_mid,selected_contract_volume,selected_contract_open_interest,selected_contract_implied_volatility,selected_contract_delta,selected_contract_breakeven,selected_contract_spread_percent,selected_contract_liquidity_score,selected_contract_score,selected_contract_passed_hard_filters,selected_contract_rejection_reason,best_scored_contract_option_type,best_scored_contract_position_side,best_scored_contract_strike,best_scored_contract_expiry,best_scored_contract_score,best_scored_contract_passed_hard_filters,best_scored_contract_rejection_reason,missing_data_fields,validation_notes,scoring_reasons,decision_reasoning
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,CSCO,Cisco Systems Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,1,1,false,true,363630000000.00,92.0199966430664,Technology,XLK,2026-05-13,true,unknown,bullish,65,98,74,long_call,35,6,0.004146630902977549545793933,0.005683023421490710382513661,0.106408544775291030021301390,0.163043395458446788721517169,3243344,17628275,0.1839853303854177450714831712,0.025059543079096861729483995,-0.040406417145129399213398716,-0.100531642321275250958646412,25,false,,,,,,,,,,,,,,,,,,call,long,97,2026-05-29,81,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|price structure was clearly supportive|best contract was long_call 2026-05-29 97,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,MP,MP Materials Corp,finviz_row,finviz,finviz|yfinance|Yahoo Finance|Yahoo Finance UK|Insider Monkey|alpaca,5,2,false,true,12220000000.00,71.78500366210938,Basic Materials,XLB,2026-05-07,true,unknown,bullish,74,93,72,long_call,38,8,-0.0119063708961024070758877468,0.086992772061444257955172955,0.331818212057811940525972309,0.223747082319099304206063238,2216994,5711740,0.3881468694303312125551933386,0.250469210361617772234154914,0.185003250137391511291272203,0.324560615516510291888887687,85,true,,,,,,,,,,,,,,,,,,call,long,75,2026-05-08,70,true,,earnings_timing,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-08 75|News flow was mixed rather than one-way.,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,IONQ,IonQ Inc,finviz_row,finviz,finviz|yfinance|alpaca,2,3,true,true,17210000000.00,50.58620071411133,Technology,XLK,2026-05-07,true,unknown,bullish,75,98,70,long_call,38,12,-0.0376678318050114124406156686,0.121227903056974380341965993,0.801631122713092086415986411,0.506097099092524605964595284,17424405,37258100,0.4676675675893295686038740569,0.720282121016897918124169016,0.654709632594657560921279492,0.594690935616525805436038609,25,false,call,long,49.5,2026-05-15,1.69,1.82,1.755,147,,1.0159,0.3861,51.32,7.407407407407407407407407407,65,65,true,,call,long,49.5,2026-05-15,65,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-15 49.5|IV is very elevated for a long option.,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,CRWV,CoreWeave Inc,finviz_row,finviz,finviz|yfinance|alphavantage|alpaca,4,4,false,true,70250000000.00,131.625,Technology,XLK,2026-05-07,true,unknown,bullish,75,92,64,long_call,40,1,-0.0460573700849208195894237186,0.179435499997094474520757347,0.430706521739130434782608696,0.342975177340021484670875972,11569422,35101910,0.3295952271543058483142370315,0.349357520042936266490791301,0.283785031620695909287901777,0.223555179734769860389705907,25,false,,,,,,,,,,,,,,,,,,call,long,150,2026-05-08,55,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-08 150,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,SPG,Simon Property Group Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,4,5,false,true,65430000000.00,202.88499450683594,Real Estate,XLRE,2026-05-11,true,unknown,bearish,60,96,61,long_put,5,2,-0.0127731014070592262371328493,-0.0040499346121473508681909550,0.019676299251715837128093744,0.009428274848902032201648969,136540,1231600,0.1108639168561221175706398181,-0.061672702444478331163723651,-0.127138662668704592106606362,-0.018236149829484860978589139,25,false,,,,,,,,,,,,,,,,,,put,long,195,2026-05-15,62,true,,earnings_timing|news_articles,market cap differs across sources; kept Finviz ranking value,relative strength was clearly supportive|trend alignment was mixed rather than decisive|volume confirmation was clearly supportive|best contract was long_put 2026-05-15 195|Spread is wide enough to demand a material price concession.,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,AMAT,Applied Materials Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,2,6,false,true,324830000000.00,418.5899963378906,Technology,XLK,2026-05-14,true,unknown,neutral,54,98,0,,0,0,-0.0234006786747189266515818418,0.061091552891360481139426091,0.052235989308529500949642045,0.059855635903784610795997627,1323960,5793480,0.2285258601048074732285258601,-0.029113012387664667342175350,-0.094578972611890928285058061,-0.154704197788036780030305757,25,false,,,,,,,,,,,,,,,,,,,,,,,,,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,CEG,Constellation Energy Corp,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,3,7,false,true,113560000000.00,321.135009765625,Utilities,XLU,2026-05-11,true,unknown,bullish,63,98,0,long_call,30,0,-0.0050963164381095150708880451,0.025990446535543130990415335,0.145887635202943800178412132,-0.0144395612114683674330766517,566972,2658890,0.2132363505071665243767135910,0.064538633506749631886594737,-0.000869911519673770634960395,0.1828972362657192279373897135,25,false,,,,,,,,,,,,,,,,,,call,long,275,2026-06-05,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,Q,Qnity Electronics Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,5,8,false,true,30130000000.00,147.8350067138672,Technology,XLK,2026-05-12,true,unknown,bullish,67,98,0,long_call,4,0,-0.0107400675944739149453219927,0.051009546885790415754280746,0.138243002433323372967648737,0.233397346579853207201117390,472204,1543655,0.3058999582160521619144174054,0.056894000737129204675831342,-0.008571959487097056267051369,-0.068908339571037201425254052,25,false,,,,,,,,,,,,,,,,,,call,long,160,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,CTRI,Centuri Holdings Inc,finviz_row,finviz,finviz|yfinance|alpaca,1,9,false,true,3330000000.00,33.0,Utilities,XLU,2026-05-07,true,unknown,bearish,67,98,0,long_put,7,0,-0.2105263013798892484523192410,-0.1223403899148328277355996904,-0.0122717704066038178062890938,0.075970000583958394320101414,3353302,1220715,2.746998275600774955661231328,-0.0878112512428423946264608948,-0.1501632702866222338170788198,0.0317367279133922952113459676,25,false,,,,,,,,,,,,,,,,,,put,long,32.5,2026-06-18,0,false,Expiry is outside the valid earnings window.; User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was mixed rather than decisive|volume confirmation was clearly supportive|No usable option contract was selected.,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
candidate,0cb9ddc6-7d53-4282-84cc-41e2e68f4c3e,2026-05-07,2026-05-07T18:51:39.317734+00:00,2026-05-07T18:52:04.429188+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,recommend,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,ADEA,Adeia Inc,finviz_row,finviz,finviz|yfinance|alphavantage|alpaca,3,10,false,true,3020000000.00,27.149999618530273,Technology,XLK,2026-05-07,true,unknown,neutral,54,83,0,,0,0,-0.0689300493621305826393467596,-0.1475667411820159977085306136,0.003325948054846189668770930,0.312228077222081832686466731,1467106,1628577.9,0.9008509817061867289246648871,-0.070352970797594878207069846,-0.131713997018614930392181505,-0.185313359408609834045879956,25,false,,,,,,,,,,,,,,,,,,,,,,,,,earnings_timing|news_articles,,relative strength was clearly supportive|trend alignment was mixed rather than decisive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"IONQ shows the strongest directional setup in the slate: +80% 20d, +51% 50d, relative strength +72% vs SPY and +59% vs sector, and volume running 47% above 20d average — a textbook momentum-into-earnings profile. Long_only permission is respected with a long call. The 49.5C 5/15 is preferred over the 51C 5/15 (closer breakeven, higher delta) and over the 5/08 52C (thin 72% spread, no greeks, expires day after earnings with no buffer). Score lands in Standard recommend range rather than Strong because IV is already bid to ~102%, news coverage is sparse (no independent catalyst confirmation), and the 1d -3.8% pullback hints at pre-print volatility."
