record_type,run_id,run_local_date,run_started_at,run_finished_at,trigger_type,run_status,screener_status,warning_text,fallback_used,decision_engine,llm_triggered,model_used_heavy,model_used_light,final_decision_action,final_selected_ticker,strategy_source,strategy_label,strategy_status,strategy_provider,strategy_raw_row_count,strategy_candidate_count,strategy_finviz_candidate_count,strategy_backup_candidate_count,strategy_fallback_used,strategy_query_urls,strategy_filter_codes,strategy_criteria_summary,strategy_sort_summary,strategy_note,ticker,company_name,candidate_origin,candidate_sources,data_sources_used,screener_rank,combined_rank,selected_for_final,selected_contract_matches_best_scored,market_cap,current_price,sector,sector_etf,earnings_date,earnings_date_verified,earnings_timing,direction_classification,candidate_direction_score,data_confidence_score,final_opportunity_score,best_strategy,option_contracts_considered,viable_contract_count,stock_return_1d,stock_return_5d,stock_return_20d,stock_return_50d,latest_volume,average_volume_20d,volume_vs_average_20d,relative_strength_vs_spy,relative_strength_vs_qqq,relative_strength_vs_sector,news_confidence,news_used_llm_summary,selected_contract_option_type,selected_contract_position_side,selected_contract_strike,selected_contract_expiry,selected_contract_bid,selected_contract_ask,selected_contract_mid,selected_contract_volume,selected_contract_open_interest,selected_contract_implied_volatility,selected_contract_delta,selected_contract_breakeven,selected_contract_spread_percent,selected_contract_liquidity_score,selected_contract_score,selected_contract_passed_hard_filters,selected_contract_rejection_reason,best_scored_contract_option_type,best_scored_contract_position_side,best_scored_contract_strike,best_scored_contract_expiry,best_scored_contract_score,best_scored_contract_passed_hard_filters,best_scored_contract_rejection_reason,missing_data_fields,validation_notes,scoring_reasons,decision_reasoning
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,SWKS,Skyworks Solutions Inc,finviz_row,finviz,finviz|yfinance|alphavantage|Yahoo Finance|Seeking Alpha|Insider Monkey|KHOU|alpaca,3,1,false,true,9990000000.00,67.20500183105469,Technology,XLK,2026-05-07,true,unknown,bullish,67,100,67,long_call,22,1,0.034400501283034796894496235,-0.0422544736391744638804584554,0.188207217102199321202053012,0.123453730757364737174670251,2034802,3687595,0.5517964960902702167672968425,0.106667006440189814974723454,0.041318535668223571948104709,-0.019014474070322633521007553,95,true,,,,,,,,,,,,,,,,,,call,long,67.5,2026-05-15,67,true,,earnings_timing,,trend alignment was mixed rather than decisive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-15 67.5|News flow was mixed rather than one-way.|Spread is wider than ideal but still usable.,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,CSCO,Cisco Systems Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,1,2,false,true,363510000000.00,92.0199966430664,Technology,XLK,2026-05-13,true,unknown,bullish,65,98,66,long_call,65,2,0.004146630902977549545793933,0.005683023421490710382513661,0.106408544775291030021301390,0.163043395458446788721517169,3243344,17628275,0.1839853303854177450714831712,0.025059543079096861729483995,-0.040406417145129399213398716,-0.100531642321275250958646412,25,false,,,,,,,,,,,,,,,,,,call,long,97.5,2026-05-15,66,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|price structure was clearly supportive|best contract was long_call 2026-05-15 97.5,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,IONQ,IonQ Inc,finviz_row,finviz,finviz|yfinance|alpaca,2,3,true,true,18120000000.00,50.58620071411133,Technology,XLK,2026-05-07,true,unknown,bullish,75,98,65,long_call,78,5,-0.0376678318050114124406156686,0.121227903056974380341965993,0.801631122713092086415986411,0.506097099092524605964595284,17424405,37258100,0.4676675675893295686038740569,0.720282121016897918124169016,0.654709632594657560921279492,0.594690935616525805436038609,25,false,call,long,51,2026-05-08,1.37,1.46,1.415,925,,1.5268,0.4742,52.46,6.360424028268551236749116608,65,56,true,,call,long,51,2026-05-08,56,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-08 51|IV is very elevated for a long option.,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,CRWV,CoreWeave Inc,finviz_row,finviz,finviz|yfinance|alphavantage|alpaca,4,4,false,true,71520000000.00,131.625,Technology,XLK,2026-05-07,true,unknown,bullish,75,92,63,long_call,78,1,-0.0460573700849208195894237186,0.179435499997094474520757347,0.430706521739130434782608696,0.342975177340021484670875972,11569422,35101910,0.3295952271543058483142370315,0.349357520042936266490791301,0.283785031620695909287901777,0.223555179734769860389705907,25,false,,,,,,,,,,,,,,,,,,call,long,200,2026-05-15,53,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-15 200|Spread is wider than ideal but still usable.,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,SYM,Symbotic Inc,finviz_row,finviz,finviz|yfinance|Yahoo Finance|Zacks.com|Markets Insider|alpaca,1,5,false,true,35560000000.00,60.75,Industrials,XLI,2026-05-07,true,unknown,bullish,73,98,59,long_call,78,2,-0.0067037254485777848485576797,0.027918808265306710874618642,0.133607013006629927152748337,0.082116149990582120554787720,1041444,1447720,0.7193683861520183460890227392,0.052258011310435758860930942,-0.013207948913790502081951769,0.111857811170931787273457506,95,true,,,,,,,,,,,,,,,,,,call,long,64,2026-05-15,47,true,,earnings_timing,,trend alignment was clearly supportive|relative strength was clearly supportive|news/catalyst quality was clearly supportive|best contract was long_call 2026-05-15 64|News flow was mixed rather than one-way.|Spread is wide enough to demand a material price concession.|IV is elevated for a long option.,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,ALAB,Astera Labs Inc,finviz_row,finviz,finviz|yfinance|alpaca,5,6,false,true,34130000000.00,199.33999633789062,Technology,XLK,2026-05-07,true,unknown,bullish,73,98,55,long_call,76,1,-0.0681127907754769295645292986,0.023621190895406609422579819,0.539780519079319463574716941,0.555520919485266089075957351,2492399,6303645,0.3953901274580024731722677911,0.458299107418534788196859529,0.392965557158899034340016835,0.332629177074958889181814152,25,false,,,,,,,,,,,,,,,,,,call,long,210,2026-05-08,41,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-08 210|Spread is wider than ideal but still usable.|IV is very elevated for a long option.,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,AMAT,Applied Materials Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,2,7,false,true,330860000000.00,418.5899963378906,Technology,XLK,2026-05-14,true,unknown,neutral,54,98,0,,0,0,-0.0234006786747189266515818418,0.061091552891360481139426091,0.052235989308529500949642045,0.059855635903784610795997627,1323960,5793480,0.2285258601048074732285258601,-0.029113012387664667342175350,-0.094578972611890928285058061,-0.154704197788036780030305757,25,false,,,,,,,,,,,,,,,,,,,,,,,,,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,CEG,Constellation Energy Corp,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,3,8,false,true,115140000000.00,321.135009765625,Utilities,XLU,2026-05-11,true,unknown,bullish,63,98,0,short_put,59,0,-0.0050963164381095150708880451,0.025990446535543130990415335,0.145887635202943800178412132,-0.0144395612114683674330766517,566972,2658890,0.2132363505071665243767135910,0.064538633506749631886594737,-0.000869911519673770634960395,0.1828972362657192279373897135,25,false,,,,,,,,,,,,,,,,,,put,short,322.5,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,SPG,Simon Property Group Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,4,9,false,true,66350000000.00,202.88499450683594,Real Estate,XLRE,2026-05-11,true,unknown,bearish,60,98,0,short_call,11,0,-0.0127731014070592262371328493,-0.0040499346121473508681909550,0.019676299251715837128093744,0.009428274848902032201648969,136540,1231600,0.1108639168561221175706398181,-0.061672702444478331163723651,-0.127138662668704592106606362,-0.018236149829484860978589139,25,false,,,,,,,,,,,,,,,,,,call,short,200,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,market cap differs across sources; kept Finviz ranking value,relative strength was clearly supportive|trend alignment was mixed rather than decisive|volume confirmation was clearly supportive|No usable option contract was selected.,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
candidate,9f0ff3d5-1f5b-4fe7-90a1-666c15148bbf,2026-05-07,2026-05-07T15:40:20.760919+00:00,2026-05-07T15:41:07.134968+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,IONQ,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,Q,Qnity Electronics Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,5,10,false,true,30760000000.00,147.8350067138672,Technology,XLK,2026-05-12,true,unknown,bullish,67,98,0,long_call,9,0,-0.0107400675944739149453219927,0.051009546885790415754280746,0.138243002433323372967648737,0.233397346579853207201117390,472204,1543655,0.3058999582160521619144174054,0.056894000737129204675831342,-0.008571959487097056267051369,-0.068908339571037201425254052,25,false,,,,,,,,,,,,,,,,,,call,long,130,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"IONQ has the most decisive directional setup in the slate: +80% over 20d, +51% over 50d, and relative strength of +72% vs SPY and +59% vs sector. The 51-strike 2026-05-08 call is near-the-money with the best liquidity in the candidate chain (volume 925, spread ~6%). However, IV at 152% signals very elevated earnings premium and material post-print IV crush risk, news flow is sparse (no confirming catalyst), and the expiry sits only one day past earnings, so a muted move destroys the position. SWKS news is mixed-to-bearish on guidance, CSCO's 97.5 strike is far OTM requiring a ~7% move with negative sector RS, and CRWV's only listed strike ($200 vs $131 spot) is not a credible setup. IONQ is the best single idea but does not clear the recommend bar — monitor for an entry with tempered IV or a pullback toward the 20-day."
