record_type,run_id,run_local_date,run_started_at,run_finished_at,trigger_type,run_status,screener_status,warning_text,fallback_used,decision_engine,llm_triggered,model_used_heavy,model_used_light,final_decision_action,final_selected_ticker,strategy_source,strategy_label,strategy_status,strategy_provider,strategy_raw_row_count,strategy_candidate_count,strategy_finviz_candidate_count,strategy_backup_candidate_count,strategy_fallback_used,strategy_query_urls,strategy_filter_codes,strategy_criteria_summary,strategy_sort_summary,strategy_note,ticker,company_name,candidate_origin,candidate_sources,data_sources_used,screener_rank,combined_rank,selected_for_final,selected_contract_matches_best_scored,market_cap,current_price,sector,sector_etf,earnings_date,earnings_date_verified,earnings_timing,direction_classification,candidate_direction_score,data_confidence_score,final_opportunity_score,best_strategy,option_contracts_considered,viable_contract_count,stock_return_1d,stock_return_5d,stock_return_20d,stock_return_50d,latest_volume,average_volume_20d,volume_vs_average_20d,relative_strength_vs_spy,relative_strength_vs_qqq,relative_strength_vs_sector,news_confidence,news_used_llm_summary,selected_contract_option_type,selected_contract_position_side,selected_contract_strike,selected_contract_expiry,selected_contract_bid,selected_contract_ask,selected_contract_mid,selected_contract_volume,selected_contract_open_interest,selected_contract_implied_volatility,selected_contract_delta,selected_contract_breakeven,selected_contract_spread_percent,selected_contract_liquidity_score,selected_contract_score,selected_contract_passed_hard_filters,selected_contract_rejection_reason,best_scored_contract_option_type,best_scored_contract_position_side,best_scored_contract_strike,best_scored_contract_expiry,best_scored_contract_score,best_scored_contract_passed_hard_filters,best_scored_contract_rejection_reason,missing_data_fields,validation_notes,scoring_reasons,decision_reasoning
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,SWKS,Skyworks Solutions Inc,finviz_row,finviz,finviz|yfinance|Insider Monkey|Seeking Alpha|Barchart|Yahoo Finance UK|alpaca,5,1,false,true,10040000000.00,66.77999877929688,Technology,XLK,2026-05-08,true,unknown,bullish,80,100,79,long_call,23,3,0.026752734306222022184775624,-0.0377522001293477578393513768,0.184882861179946367309373563,0.120281799958583052435344717,5142265,3861095,1.331815197502262959082850849,0.099285517313154662747210553,0.020973698655154395287079599,-0.045800144581204271227425990,95,true,,,,,,,,,,,,,,,,,,call,long,67.5,2026-05-15,79,true,,earnings_timing,,news/catalyst quality was clearly supportive|trend alignment was mixed rather than decisive|volume confirmation was clearly supportive|best contract was long_call 2026-05-15 67.5|Spread is wider than ideal but still usable.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,MP,MP Materials Corp,finviz_row,finviz,finviz|yfinance|alpaca,1,2,true,true,11980000000.00,67.43000030517578,Basic Materials,XLB,2026-05-08,true,unknown,bullish,68,98,70,long_call,79,3,-0.0245913064629571882739921014,0.012006649928486551614617256,0.220673393488704116326465708,0.123833338419596333333333333,11567822,5974810,1.936098721130881149358724378,0.135076049621912411764302698,0.056764230963912144304171744,0.2277942352593756204324537613,25,false,call,long,71,2026-05-15,1.42,1.59,1.505,118,,0.6916,0.3576,72.59,11.29568106312292358803986711,65,71,true,,call,long,71,2026-05-15,71,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|market/sector environment was clearly supportive|best contract was long_call 2026-05-15 71|IV is elevated for a long option.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,CSCO,Cisco Systems Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,1,3,false,true,381440000000.00,96.56999969482422,Technology,XLK,2026-05-13,true,unknown,bullish,79,98,0,long_call,70,0,0.047851517550752481881018989,0.051388146969136735659278129,0.174531722951467784652975756,0.236491697587206291594097187,24617530,17601220,1.398626345219251847315129292,0.088934379084676080090812746,0.010622560426675812630681792,-0.056151282809682853883823797,25,false,,,,,,,,,,,,,,,,,,call,long,96,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|volume confirmation was clearly supportive|market/sector environment was clearly supportive|No usable option contract was selected.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,AMAT,Applied Materials Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,2,4,false,true,345570000000.00,435.44000244140625,Technology,XLK,2026-05-14,true,unknown,bullish,72,98,0,short_put,72,0,0.060393500166321686653509566,0.119152918343513905884632186,0.089989769670924414735340653,0.158948155612356658428387706,6963391,5912275,1.177785370267790317601938340,0.004392425804132710173177643,-0.073919392853867557286953311,-0.140693236090226223801458900,25,false,,,,,,,,,,,,,,,,,,put,short,435,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|price structure was clearly supportive|No usable option contract was selected.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,CEG,Constellation Energy Corp,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alphavantage|alpaca,3,5,false,true,110000000000.00,303.6300048828125,Utilities,XLU,2026-05-11,true,unknown,neutral,54,98,0,,0,0,-0.0245759249758555249402282975,-0.0135797820374094887747937354,0.059790592959205933682373473,-0.0615959723889295400085301329,2867730,2638470,1.086891266529465940488237501,-0.025806750907585770879789537,-0.104118569565586038339920491,0.1074907187564866082916208846,25,false,,,,,,,,,,,,,,,,,,,,,,,,,earnings_timing|news_articles,,trend alignment was mixed rather than decisive|relative strength was mixed rather than decisive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,SPG,Simon Property Group Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,4,6,false,true,65660000000.00,202.1199951171875,Real Estate,XLRE,2026-05-11,true,unknown,neutral,54,98,0,,0,0,0.003574981343212882172335687,-0.0015807514342990198014518311,0.007727914126578334026649512,-0.0023692545501842934116194042,1081350,1240740,0.8715363412157260989409545916,-0.077869429740213370535513498,-0.156181248398213637995644452,-0.029404270925260375368474696,25,false,,,,,,,,,,,,,,,,,,,,,,,,,earnings_timing|news_articles,market cap differs across sources; kept Finviz ranking value,relative strength was clearly supportive|trend alignment was mixed rather than decisive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,CRWV,CoreWeave Inc,finviz_row,finviz,finviz|yfinance|alpaca,3,7,false,true,62740000000.00,114.1500015258789,Technology,XLK,2026-05-08,true,unknown,neutral,54,98,0,,0,0,-0.1140173488788863925186459329,-0.0408369088573609024308272955,0.119117662018420588235294118,0.169210332246348333894805562,48250760,33898370,1.423394694199160608607434517,0.033520318151628883673131108,-0.044791500506371383786999846,-0.111565343742730050301505435,25,false,,,,,,,,,,,,,,,,,,,,,,,,,earnings_timing|news_articles,,relative strength was mixed rather than decisive|volume confirmation was clearly supportive|trend alignment was mixed rather than decisive|No usable option contract was selected.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,catalyst_confluence,Strategy A - Catalyst Confluence,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=earningsdate_nextweek,geo_usa&o=-marketcap",earningsdate_nextweek|geo_usa,"USA-listed companies reporting earnings next week, sorted by market cap. This deliberately broad Finviz screen preserves the top five visible rows; optionability, liquidity, trend, news, fundamentals, and contract quality are validated downstream.",Market Cap descending,,Q,Qnity Electronics Inc,finviz_row,finviz|yfinance|finnhub,finviz|yfinance|finnhub|alpaca,5,8,false,true,30880000000.00,147.3300018310547,Technology,XLK,2026-05-12,true,unknown,bullish,71,98,0,short_put,10,0,0.026046420980213960492167554,0.027907625402215944613361503,0.127669412275565036510761153,0.180718090017318130506339926,1688302,1562405,1.080578979201935477677042764,0.042072068408773331948598143,-0.036239750249226935511532811,-0.103013593485585602026038400,25,false,,,,,,,,,,,,,,,,,,put,short,150,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|price structure was clearly supportive|No usable option contract was selected.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,GH,Guardant Health Inc,finviz_row,finviz,finviz|yfinance|alphavantage|alpaca,4,9,false,true,12550000000.00,95.69999694824219,Healthcare,XLV,2026-05-08,true,unknown,bullish,79,98,0,short_put,18,0,0.037285873968789290345680565,0.092465737616582283128757945,0.217557236718665229660515396,-0.0231704015941282890925244853,3149754,2202210,1.430269592818123612189573201,0.131959892851873525098352386,0.053648074193873257638221432,0.2434888919269972851792645130,25,false,,,,,,,,,,,,,,,,,,put,short,95,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|volume confirmation was clearly supportive|No usable option contract was selected.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
candidate,fa0cc08d-d472-412e-8175-45c066c072a0,2026-05-08,2026-05-08T21:25:58.492730+00:00,2026-05-08T21:26:40.828601+00:00,manual,success,success,,false,llm,true,anthropic/claude-opus-4.7,google/gemini-3.1-flash-lite-preview,watchlist,MP,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,AAOI,Applied Optoelectronics Inc,finviz_row,finviz,finviz|yfinance|alphavantage|alpaca,2,10,false,true,11760000000.00,148.94000244140625,Technology,XLK,2026-05-08,true,unknown,bearish,67,98,0,short_call,83,0,-0.0546493204923837506992576846,-0.1883820669186599615612110741,-0.0110226002312932092648491663,1.774073500670822614917315522,20671999,10583595,1.953211456031717011091221839,-0.0966199440980849138270121763,-0.1749317627560851812871431303,-0.2417056059924438478016487193,25,false,,,,,,,,,,,,,,,,,,call,short,149,2026-05-15,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,relative strength was clearly supportive|trend alignment was mixed rather than decisive|volume confirmation was clearly supportive|No usable option contract was selected.,"MP shows the cleanest directional setup among candidates: +22% 20d, RS vs sector +0.23, volume 1.94x average, and sector/market tailwinds. However, news flow is sparse (no hard catalyst confirmation), IV is elevated (~69%) making premium expensive, and earnings_timing is 'unknown' which violates the comfort zone of PRD §17's BMO/AMC expiry rule — the 2026-05-15 expiry works only if timing is AMC or BMO on 5/08, unverified here. SWKS has weaker RS vs sector (-0.046), mixed trend signals, and a wider 15% spread on its best contract. CSCO and GH have no usable option chain. Net: MP is the single best setup to monitor but does not clear the recommend bar due to timing uncertainty and elevated IV into a binary event."
